,name,language,talk.translation_shifts,talk.language,talk.room,talk.duration,talk.title,talk.speakers,talk.fahrplan
129,franzt,de,"[TranslationShift(name=""franzt"", language=""de"", Talk=<parse.Talk object at 0x10aa49190>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa49190>), TranslationShift(name=""Aegy"", language=""de"", Talk=<parse.Talk object at 0x10aa49190>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa49190>), TranslationShift(name=""remy_o"", language=""fr"", Talk=<parse.Talk object at 0x10aa49190>)]",en,Borg,0 days 01:00:00.000000000,The Great Escape of ESXi,"['f1yyy', 'Hanqing Zhao']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10505.html
130,Scriptkiddi,de,"[TranslationShift(name=""franzt"", language=""de"", Talk=<parse.Talk object at 0x10aa49b10>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa49b10>), TranslationShift(name=""Aegy"", language=""de"", Talk=<parse.Talk object at 0x10aa49b10>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa49b10>), TranslationShift(name=""remy_o"", language=""fr"", Talk=<parse.Talk object at 0x10aa49b10>)]",en,Borg,0 days 01:00:00.000000000,The Great Escape of ESXi,"['f1yyy', 'Hanqing Zhao']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10505.html
131,Aegy,de,"[TranslationShift(name=""franzt"", language=""de"", Talk=<parse.Talk object at 0x10aa4b190>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa4b190>), TranslationShift(name=""Aegy"", language=""de"", Talk=<parse.Talk object at 0x10aa4b190>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa4b190>), TranslationShift(name=""remy_o"", language=""fr"", Talk=<parse.Talk object at 0x10aa4b190>)]",en,Borg,0 days 01:00:00.000000000,The Great Escape of ESXi,"['f1yyy', 'Hanqing Zhao']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10505.html
132,ironic,fr,"[TranslationShift(name=""franzt"", language=""de"", Talk=<parse.Talk object at 0x10aa4b7d0>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa4b7d0>), TranslationShift(name=""Aegy"", language=""de"", Talk=<parse.Talk object at 0x10aa4b7d0>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa4b7d0>), TranslationShift(name=""remy_o"", language=""fr"", Talk=<parse.Talk object at 0x10aa4b7d0>)]",en,Borg,0 days 01:00:00.000000000,The Great Escape of ESXi,"['f1yyy', 'Hanqing Zhao']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10505.html
133,remy_o,fr,"[TranslationShift(name=""franzt"", language=""de"", Talk=<parse.Talk object at 0x10aa4be10>), TranslationShift(name=""Scriptkiddi"", language=""de"", Talk=<parse.Talk object at 0x10aa4be10>), TranslationShift(name=""Aegy"", language=""de"", Talk=<parse.Talk object at 0x10aa4be10>), TranslationShift(name=""ironic"", language=""fr"", Talk=<parse.Talk object at 0x10aa4be10>), TranslationShift(name=""remy_o"", language=""fr"", Talk=<parse.Talk object at 0x10aa4be10>)]",en,Borg,0 days 01:00:00.000000000,The Great Escape of ESXi,"['f1yyy', 'Hanqing Zhao']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10505.html
134,dimir,en,"[TranslationShift(name=""dimir"", language=""en"", Talk=<parse.Talk object at 0x10aa4d490>), TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10aa4d490>), TranslationShift(name=""floi"", language=""en"", Talk=<parse.Talk object at 0x10aa4d490>), TranslationShift(name=""comoelcometa"", language=""es"", Talk=<parse.Talk object at 0x10aa4d490>), TranslationShift(name=""evajuliane"", language=""es"", Talk=<parse.Talk object at 0x10aa4d490>)]",de,Clarke,0 days 01:00:00.000000000,Digitalisierte Migrationskontrolle,"['Anna Biselli', 'Lea Beckmann']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10766.html
135,waffle,en,"[TranslationShift(name=""dimir"", language=""en"", Talk=<parse.Talk object at 0x10aa4dad0>), TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10aa4dad0>), TranslationShift(name=""floi"", language=""en"", Talk=<parse.Talk object at 0x10aa4dad0>), TranslationShift(name=""comoelcometa"", language=""es"", Talk=<parse.Talk object at 0x10aa4dad0>), TranslationShift(name=""evajuliane"", language=""es"", Talk=<parse.Talk object at 0x10aa4dad0>)]",de,Clarke,0 days 01:00:00.000000000,Digitalisierte Migrationskontrolle,"['Anna Biselli', 'Lea Beckmann']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10766.html
136,floi,en,"[TranslationShift(name=""dimir"", language=""en"", Talk=<parse.Talk object at 0x10aa4f150>), TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10aa4f150>), TranslationShift(name=""floi"", language=""en"", Talk=<parse.Talk object at 0x10aa4f150>), TranslationShift(name=""comoelcometa"", language=""es"", Talk=<parse.Talk object at 0x10aa4f150>), TranslationShift(name=""evajuliane"", language=""es"", Talk=<parse.Talk object at 0x10aa4f150>)]",de,Clarke,0 days 01:00:00.000000000,Digitalisierte Migrationskontrolle,"['Anna Biselli', 'Lea Beckmann']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10766.html
137,comoelcometa,es,"[TranslationShift(name=""dimir"", language=""en"", Talk=<parse.Talk object at 0x10aa4f790>), TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10aa4f790>), TranslationShift(name=""floi"", language=""en"", Talk=<parse.Talk object at 0x10aa4f790>), TranslationShift(name=""comoelcometa"", language=""es"", Talk=<parse.Talk object at 0x10aa4f790>), TranslationShift(name=""evajuliane"", language=""es"", Talk=<parse.Talk object at 0x10aa4f790>)]",de,Clarke,0 days 01:00:00.000000000,Digitalisierte Migrationskontrolle,"['Anna Biselli', 'Lea Beckmann']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10766.html
138,evajuliane,es,"[TranslationShift(name=""dimir"", language=""en"", Talk=<parse.Talk object at 0x10aa4fdd0>), TranslationShift(name=""waffle"", language=""en"", Talk=<parse.Talk object at 0x10aa4fdd0>), TranslationShift(name=""floi"", language=""en"", Talk=<parse.Talk object at 0x10aa4fdd0>), TranslationShift(name=""comoelcometa"", language=""es"", Talk=<parse.Talk object at 0x10aa4fdd0>), TranslationShift(name=""evajuliane"", language=""es"", Talk=<parse.Talk object at 0x10aa4fdd0>)]",de,Clarke,0 days 01:00:00.000000000,Digitalisierte Migrationskontrolle,"['Anna Biselli', 'Lea Beckmann']",https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10766.html
139,LuKaRo,de,"[TranslationShift(name=""LuKaRo"", language=""de"", Talk=<parse.Talk object at 0x10aa510d0>), TranslationShift(name=""eskarina"", language=""de"", Talk=<parse.Talk object at 0x10aa510d0>), TranslationShift(name=""gooniesbro"", language=""de"", Talk=<parse.Talk object at 0x10aa510d0>), TranslationShift(name=""iggle"", language=""es"", Talk=<parse.Talk object at 0x10aa510d0>), TranslationShift(name=""bita"", language=""es"", Talk=<parse.Talk object at 0x10aa510d0>), TranslationShift(name=""guillermo"", language=""es"", Talk=<parse.Talk object at 0x10aa510d0>)]",en,Dijkstra,0 days 01:00:00.000000000,Science for future?,['Bernhard Stoevesandt'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10991.html
140,eskarina,de,"[TranslationShift(name=""LuKaRo"", language=""de"", Talk=<parse.Talk object at 0x10aa51b90>), TranslationShift(name=""eskarina"", language=""de"", Talk=<parse.Talk object at 0x10aa51b90>), TranslationShift(name=""gooniesbro"", language=""de"", Talk=<parse.Talk object at 0x10aa51b90>), TranslationShift(name=""iggle"", language=""es"", Talk=<parse.Talk object at 0x10aa51b90>), TranslationShift(name=""bita"", language=""es"", Talk=<parse.Talk object at 0x10aa51b90>), TranslationShift(name=""guillermo"", language=""es"", Talk=<parse.Talk object at 0x10aa51b90>)]",en,Dijkstra,0 days 01:00:00.000000000,Science for future?,['Bernhard Stoevesandt'],https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10991.html
